,Title,Description,Date,Source,Urls
15,Watch: Highlights of Economic Survey 2024-25,The Economic Survey was prepared by a team led by Chief Economic Adviser V. Anantha Nageswaran,1.5 hours ago,— The Hindu Business,https://www.thehindu.com/videos/watch-highlights-of-economic-survey-2024-25/article69164666.ece
16,Busy Bee Airways Challenges Go First Liquidation,Travel portal EaseMyTrip's co-founder Nishant Pitti is the majority shareholder in Busy Bee Airways.,1.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/business/busy-bee-airways-challenges-go-first-liquidation
17,Ola Tops Two-Wheeler EV Makers By Garnering 25% Market Share In January,The company attributed its 65% growth month-on-month and the improved market share to a strong S1 portfolio and expansion of sales and service network.,1.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/business/biz-ola-ev-sales
18,Sebi asks exchanges to develop web-portal to monitor stock brokers' system audit,Markets regulator Sebi on Friday asked stock exchanges to develop web portals and create technology-based mechanisms to monitor and supervise the entire system audit lifecycle of a stock broker. The exchanges will monitor the process of carrying out a system audit of stock brokers through an online monitoring mechanism.,1.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/sebi-asks-exchanges-to-develop-web-portal-to-monitor-stock-brokers-system-audit/articleshow/117794388.cms
19,"OPEC+ unlikely to change output policy when panel meets on Monday, say sources","OPEC+ is unlikely to alter existing plans to raise output gradually when it meets on Monday, delegates from the producer group told Reuters, despite U.S. President Donald Trump urging OPEC and its de facto leader Saudi Arabia to bring down prices.",1.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/commodities/news/opec-unlikely-to-change-output-policy-when-panel-meets-on-monday-say-sources/articleshow/117794311.cms
20,Hero MotoCorp CEO Niranjan Gupta Resigns,"Vikram Kasbekar, executive director of Hero MotoCorp  has taken over as acting CEO, replacing Niranjan Gupta.",1.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/auto/hero-motocorp-ceo-niranjan-gupta-resigns-vikram-kasbekar-takes-over
21,"Focus on business reforms, private sector R&D: Economic Survey","Economic Survey calls for sustained and coordinated efforts from all tiers of government, private sector, and academia to help achieve India’s goal of becoming a strong manufacturing power",2 hours ago,— The Hindu Business,https://www.thehindu.com/business/budget/focus-on-business-reforms-private-sector-rd-economic-survey/article69164210.ece
22,"These 4 stocks hit 52-week highs, rallied up to 30% in a month","A 52-week high is a key metric for traders and investors, indicating a stock's peak value over the past year. It helps assess the stock's market position and provides insights into its future growth potential.",2 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/these-4-stocks-hit-52-week-highs-rallied-up-to-30-in-a-month/slideshow/117794122.cms
23,"Breakout Stocks: How to trade SRF, Navin Fluorine and Zensar Technologies on Saturday","Buying was notable in realty, power, consumer durables, and capital goods stocks.",2 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/breakout-stocks-how-to-trade-srf-navin-fluorine-and-zensar-technologies-on-saturday/slideshow/117793968.cms
24,"Gold continues record breaking rally, jumps Rs 1,100 to all-time high Rs 84,900 per 10g","Gold prices hit a fresh record high of Rs 84,900 per 10 grams in the national capital on Friday, driven by robust domestic demand and strong global cues, according to the All India Sarafa Association.",2 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/commodities/gold-continues-record-breaking-rally-jumps-rs-1100-to-all-time-high-rs-84900-per-10g/articleshow/117793675.cms
25,‘Carpooling can save 380 million litres of fuel’: Economic Survey lists collective actions for environment,The pre-budget document explains how small lifestyle changes can contribute significantly to climate change mitigation,2.5 hours ago,— The Hindu Business,https://www.thehindu.com/business/budget/carpooling-can-save-380-million-litres-of-fuel-economic-survey-lists-collective-actions-for-environment/article69164185.ece
26,GMDC Q3 Results: Profit Rises 26% To Rs 148 Crore,"GMDC is one of the country's leading mining and mineral processing companies. The company is also involved in the exploration of bauxite, manganese, silica sand and limestone among others.",2.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/quarterly-earnings/gmdc-q3-results-profit-rises-26-to-rs-148-crore
27,GMDC Signs 40-Year Limestone Supply Agreement With JK Cement,"This agreement will help JK Cement Ltd in setting up an integrated mega-capacity cement plant, fostering industrial growth in the region.",2.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/business/gmdc-signs-40-year-limestone-supply-agreement-with-jk-cement
28,"FPIs Stay Net Sellers For 21st Straight Session, Offload Equities Worth Rs 1,189 Crore","So far in January, the FPIs have sold equities worth Rs 78,027 crore, according to the NSDL data.",2.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/fpis-stay-net-sellers-for-21st-straight-session-offload-equities-worth-rs-1189-crore
29,"Godrej Agrovet Q3 Results: Profit Rises 21%, Revenue Soars 4.5%",The margin expanded to 9% as compared to 6.8% for the same year-ago period.,2.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/quarterly-earnings/godrej-agrovet-q3-results-profit-rises-21-revenue-soars-45
30,"Invest, Use Corrosion-Resistant Materials In Infrastructure Projects: Jindal Stainless MD","In India, corrosion's impact is significant, similar to the government's approximately Rs 12-lakh-crore infrastructure budget, Jindal said.",2.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/business/biz-jindal-corrosion
31,"Vedanta Delays Demerger to June-July, Chief Financial Officer Confirms",The company had earlier said that the demerger was expected to be completed by the end of fiscal 2025.,2.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/business/vedanta-delays-demerger-to-june-july-chief-financial-officer-confirms
32,"Sebi bans two persons for insider trading in Infosys, impounds Rs 2.6 crore of illegal gains","Sebi banned two individuals from securities markets for insider trading in Infosys stock and ordered the disgorgement of Rs 2.6 crore in illegal gains. The persons in question are Keyur Maniar and Ramit Chaudhri who have also been slapped with a penalty of Rs 30 lakh, each.",3 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/sebi-bans-two-persons-for-insider-trading-in-infosys-impounds-rs-2-6-crore-of-illegal-gains/articleshow/117792718.cms
33,Railway stocks rally up to 10% ahead of Union Budget,"Railway stocks, some down as much as 40% from their 52-week highs, saw significant value buying amid broader market gains. The rally was driven by state-owned firms like IRCON International, Rail Vikas Nigam Ltd (RVNL), IRFC, IRCTC, and BEML, as investors seized opportunities following months of sharp declines in the sector.",3 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/railway-stocks-rally-up-to-10-ahead-of-union-budget/articleshow/117792610.cms
34,Union Budget 2025: Focus on whether T.N. government’s requests would find a mention,"Chief Minister M.K. Stalin recently said the State is being ignored in the Union Budgets presented by the BJP government and at the party’s meeting of MPs last month, a resolution was passed demanding allocation for Tamil Nadu in the Budget.",3 hours ago,— The Hindu Business,https://www.thehindu.com/news/national/tamil-nadu/union-budget-2025-focus-on-whether-tn-governments-requests-would-find-a-mention/article69163897.ece
35,"Budget 2025: Railway sector to see significant investments, says ICRA’s Ashish Modani","“Roads and railways alone account for nearly half of the total outlay. While road investments have surged over the last decade, railway allocations have nearly doubled in the past five years. Going forward, we expect a sustained focus on these sectors, as reducing logistics costs remains a priority for the government.”",3 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/expert-view/budget-2025-railway-sector-to-see-significant-investments-says-icras-ashish-modani/articleshow/117792359.cms
36,"Economic Survey 2024-25: Higher GST, stricter labelling norms suggest for ultra-processed foods","Misleading nutrition claims and information on UPFs need to be tackled and should be brought under the scanner, said the pre-Budget document",3 hours ago,— The Hindu Business,https://www.thehindu.com/business/budget/impose-higher-gst-and-stricter-labelling-norms-on-ultra-processed-foods-pre-budget-report/article69163899.ece
37,Forex Reserves Rise To $629.56 billion For The Week Ahead Of Budget,"For the week ended Jan. 24, foreign currency assets — a major component of the reserves — rose to $537.89 billion, according to the RBI data.",3 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/economy-finance/forex-reserves-rise-to-62956-billion-for-the-week-ahead-of-budget
38,From NPS to home loan: Top tax expectations from Budget 2025,"Ishita Sengupta discusses potential tax changes, including a higher standard deduction, increased exemption limits, and home loan benefits under the new regime. She also suggests a 25% tax slab to create a smoother progression between tax brackets.",3 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/expert-view/from-nps-to-home-loan-top-tax-expectations-from-budget-2025/articleshow/117792212.cms
39,Economic Survey 2024-25: What does it say about air pollution?,"Quoting the World Health Organisation, the Economic Survey says that 99% of the world breathes air that exceeds WHO guideline limits and contains high levels of pollutants.",3 hours ago,— The Hindu Business,https://www.thehindu.com/business/budget/economic-survey-2024-25-what-does-it-say-about-air-pollution/article69163943.ece
40,What’s draining India’s liquidity…and can we fix it?,An explainer about the ongoing liquidity crunch and the efforts to fix it.,3.5 hours ago,— Finshots,https://finshots.in/markets/whats-draining-indias-liquidity-and-can-we-fix-it/
41,Core sectors’ output hit a seven-month high in December,"Year-on-year growth eased to 4% from 4.4% in November, but all eight segments posted higher output than November, with coal, steel and cement output at their highest levels since March 2024",3.5 hours ago,— The Hindu Business,https://www.thehindu.com/business/Industry/core-infrastructure-sectors-hit-seven-month-high-in-december/article69163926.ece
42,"Economic survey calls for Ease of Doing Business 2.0 but silent on GST 2.0, ending 'tax terrorism': Congress","The Prime Minister must therefore explain why he is throttling MGNREGA by reducing allocations, excluding 27% of workers from getting paid by foisting an Aadhaar-based payment system on them, and keeping wages low, says Congress leader Jairam Ramesh",3.5 hours ago,— The Hindu Business,https://www.thehindu.com/business/budget/economic-survey-calls-for-ease-of-doing-business-20-but-silent-on-gst-20-ending-tax-terrorism-congress/article69163873.ece
43,"Sun Pharma net profit jumps 15% to Rs 2,903 crore in Q3FY25","Sun Pharma's Q3FY25 net profit rose 15% YoY to ₹2,903 crore, driven by strong domestic and global specialty sales. Revenue grew 10.5%, while EBITDA surged 15.3% with improved margins. The company faces ongoing legal proceedings in the U.S.",3.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/earnings/sun-pharma-net-profit-jumps-15-to-rs-2903-crore-in-q3fy25/articleshow/117791129.cms
44,"Tech view: Nifty breaks bearish pattern, eyes 23,800 upside level. How to trade stocks on Budget day","Tech View: Nifty’s breakout above 23,400 signals strong bullish momentum, reversing last month’s bearish trend. Analysts recommend a buy-on-dips strategy, with key resistance at 23,800 and immediate support at 23,300. Market reaction post-budget will determine further direction.",4 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/tech-view-nifty-breaks-bearish-pattern-eyes-23800-upside-level-how-to-trade-stocks-on-budget-day/articleshow/117790898.cms
45,Sensex  rises! These  stocks rallied over 15% on BSE in today's trade,"In the Nifty50 index, 43 stocks closed in the green, while 7 stocks ended in the red.",4 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/stock-watch/sensex-rises-these-stocks-rallied-over-15-on-bse-in-todays-trade/articleshow/117790578.cms
46,Fiscal discipline improved ‘progressively’; States having better tax positions: CEA in Economic Survey,Chief Economic Advisor also enumerated that there existed “ample room” for developmental and capital expenditure for the remainder of the year.,4 hours ago,— The Hindu Business,https://www.thehindu.com/business/budget/fiscal-discipline-improved-progressively-states-having-better-tax-positions-cea-in-economic-survey/article69163710.ece
47,Madhu Kela on market trends and investment strategy for 2025,"Madhu Kela highlights that after years of favorable markets, volatility has returned, requiring investors to adapt their strategies.",4 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/madhu-kela-on-market-trends-and-investment-strategy-for-2025/slideshow/117790684.cms
48,Economic Survey calls for doubling education infrastructure to achieve NEP goal,"It says enrollment is near universal at primary, 77.4% at secondary and 56.2% at higher secondary. Though dropout rates have declined steadily, retention rates are still worrying",4 hours ago,— The Hindu Business,https://www.thehindu.com/business/budget/economic-survey-says-government-aims-to-increase-ger-to-50-by-2035-in-higher-education/article69163656.ece
49,Excessive financialisation can hurt the economy says Economic Survey,"The consequences of financialisation are evident in advanced economies, where it has led to unprecedented levels of public and private sector debt— some visible to regulators and some not, the Economic Survey flagged",4 hours ago,— The Hindu Business,https://www.thehindu.com/business/budget/excessive-financialisation-can-hurt-the-economy-says-economic-survey/article69163692.ece
50,"Trump’s Influence on markets sparks concerns, says Swaminathan Aiyar","Swaminathan Aiyar analyzes India's FY25 GDP outlook, highlighting risks from global uncertainties, hesitant private sector investments, and market volatility. He advocates cautious fiscal policies, warns of potential foreign outflows, and stresses the importance of maintaining economic stability amid unpredictable global conditions.",4.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/trumps-influence-on-markets-sparks-concerns-says-swaminathan-aiyar/slideshow/117789872.cms
51,Economic Survey strikes optimistic tone on AI impact on labour in India,"The Economic Survey 2024–25 emphasises that while AI can cause short-term worker displacement, quick action can harness it to augment, and not cut away at, employment numbers.",4.5 hours ago,— The Hindu Business,https://www.thehindu.com/business/budget/economic-survey-strikes-optimistic-tone-on-ai-impact-on-labour-in-india/article69163364.ece
52,"Gold prices to decline, silver to rise in 2025: Economic Survey","Citing the World Bank’s Commodity Markets Outlook for October 2024, the economic survey highlighted that commodity prices are projected to decrease 5.1% in 2025 and 1.7% in 2026",4.5 hours ago,— The Hindu Business,https://www.thehindu.com/business/markets/gold-prices-to-decline-silver-to-rise-in-2025-economic-survey/article69163672.ece
53,Stock market update: Nifty Bank index  advances  0.56%,The Nifty Bank index closed 0.56 per cent  up  at 49587.2.,4.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-bank-index-advances-0-56/articleshow/117789426.cms
54,91% of capital expenditure on airports for five years achieved: Economic Survey,"AAI share of the total target is ₹25,000 crore, remaining airport development under PPP mode",4.5 hours ago,— The Hindu Business,https://www.thehindu.com/business/budget/91-of-capital-expenditure-on-airports-for-five-years-achieved-economic-survey/article69163639.ece
55,Stock market update: Stocks that hit 52-week lows on NSE in today's trade,"Bharti Airtel,  JSW Steel,  Bajaj Finserv,  ICICI Bank and  Apollo Hospital were among the top losers on NSE in today's trade.",4.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-stocks-that-hit-52-week-lows-on-nse-in-todays-trade/articleshow/117788840.cms
56,Radhika Rao on India’s GDP forecast and key growth drivers,"India’s FY25 GDP is projected at 6.3%-6.8%, driven by consumption, investment, and trade. Budget priorities include tax rationalization, import duty adjustments, and skill development to boost manufacturing and integrate India into global value chains, enhancing long-term economic growth.",5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/radhika-rao-on-indias-gdp-forecast-and-key-growth-drivers/slideshow/117788999.cms
57,"Sensex jumps 2,100 points in 4 days of pre-Budget rally. All eyes now on FM Sitharaman","Sensex:  Despite January losses, Sensex surged 2,100 points in four days on Budget optimism. Investors anticipate tax cuts and capex boosts, while ECB rate cuts and global cues support sentiment. Analysts urge clear execution for capex allocations to sustain growth.",5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/sensex-jumps-2100-points-in-4-days-of-pre-budget-rally-all-eyes-now-on-fm-sitharaman-day/articleshow/117788636.cms
58,Texmaco Rail Share Price Jumps As Q3 Profit More Than Doubles,The company has approved the transfer of Belgharia Engineering Udyog Pvt. as a going concern on a slump-exchange basis.,5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/texmaco-rail-and-engineering-share-price-jumps-as-q3-net-profit-doubles
59,AB-PMJAY reduced out-of-pocket-expenditure from 62.6 per cent to 39.4 per cent: Economic Survey 2024-25,"The reduction in out of pocket expenditure goes hand-in-hand with increased public spending in healthcare, demonstrating progress towards universal health coverage, the Survey document stated",5 hours ago,— The Hindu Business,https://www.thehindu.com/sci-tech/health/ab-pmjay-reduced-out-of-pocket-expenditure-from-626-per-cent-to-394-per-cent-economic-survey-2024-25/article69163580.ece
60,Local technology and raw materials urgently needed for transition to electric vehicles: Economic Survey,"India needs to reduce import of e-vehicles as well as the minerals needed to produce them, says Survey; recommends focus on public transport to achieve electric mobility goals",5 hours ago,— The Hindu Business,https://www.thehindu.com/business/budget/survey-calls-for-tax-breaks-on-evs-subsidies-on-renewable-energy-for-low-carbon-lifestyles/article69163551.ece
61,"Survey calls for tax breaks on EVs, subsidies on renewable energy for low-carbon lifestyles","The Indian government has introduced various measures to promote environmental sustainability and influence economic behaviour, the survey stated",5 hours ago,— The Hindu Business,https://www.thehindu.com/news/national/survey-calls-for-tax-breaks-on-evs-subsidies-on-renewable-energy-for-low-carbon-lifestyles/article69163551.ece
62,"Stock Market Highlights: Nifty, Sensex Register Longest Monthly Losing Streak In 23 Years","The NSE Nifty 50 ended 260.05 points, or 1.12% up at 23,509.55, and the 30-stock BSE Sensex ended 740.76 points, or 0.97% higher at 77,500.57.",5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/stock-market-highlights-nifty-sensex-register-longest-monthly-losing-streak-in-23-years
63,"Gainers & Losers: Rail stocks, Kalyan Jewellers among 8 stocks in limelight on Friday","Sensex and Nifty 50 rose ahead of the Union Budget, supported by broad-based buying. Key movers included Kalyan Jewellers, Railway stocks, Navin Fluorine, FMCG, Whirlpool, and Jindal Steel.",5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/web-stories/gainers-amp-losers-rail-stocks-kalyan-jewellers-among-8-stocks-in-limelight-on-friday/slideshow/117788006.cms
64,"Bank credit grown steadily, SCBs seeing constant improvement in profitability: Economic Survey","Across industries, bank credit to MSMEs have been growing faster than credit disbursal to large enterprises",5 hours ago,— The Hindu Business,https://www.thehindu.com/business/budget/bank-credit-grown-steadily-scbs-seeing-constant-improvement-in-profitability-economic-survey/article69163386.ece
65,"Top 10 Most-Valued Firms Add Rs 82,039 Crore In Market Cap","Larsen & Toubro Ltd. saw the highest increase among the top 10, with its market cap rising by Rs 20,138 crore",5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/top-10-most-valued-firms-add-rs-82039-crore-in-market-cap
66,Economic Survey 2024-25 cautions against 'meaningful' market correction in 2025,"""Many investors who have entered the market post-pandemic have never witnessed a significant and prolonged market correction. Hence, if one were to occur, its impact on sentiment and spending may be non-trivial,"" the Survey noted",5.5 hours ago,— The Hindu Business,https://www.thehindu.com/business/budget/economic-survey-2024-25-cautions-against-meaningful-market-correction-in-2025/article69163441.ece
67,Budget has no space for fiscal stimulus; reform stimulus needed to revive animal spirits in private sector: Sajjid Chinoy,"In 2025, India's policy challenge involves balancing domestic growth slowdown amidst global uncertainty. Policymakers face limited fiscal options, emphasizing deregulation and private sector involvement. Addressing debt and deficits is crucial, alongside promoting business reforms to stimulate the economy. The agriculture sector is also highlighted as a key future focus area.",5.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/expert-view/budget-has-no-space-for-fiscal-stimulus-need-reform-stimulus-to-revive-animal-spirits-in-private-sector-sajjid-chinoy/articleshow/117786814.cms
68,"Nifty 50 Top Gainers And Losers On Jan. 31: L&T, ITC To Airtel, ICICI Bank","Sensex and Nifty ended the fourth straight month of losses in January, the longest losing streak in 23 years.",5.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/nifty-50-top-gainers-and-losers-on-jan-31-lt-itc-to-airtel-icici-bank
69,"Economic Survey 2024-25: Economic stability, infrastructure creation fuelling real estate demand across India","Indian real estate market thriving due to economic stability, infrastructure development, RERA, GST, and rise of REITs, as per Economic Survey 2024-25",5.5 hours ago,— The Hindu Business,https://www.thehindu.com/business/budget/economic-survey-2024-25-economic-stability-infrastructure-creation-fuelling-real-estate-demand-across-india/article69163257.ece
70,"Ola Electric shares rally over 14% on market share gains, launch of Gen 3 electric scooter","Ola Electric shares: Ola Electric Mobility shares surged 14.4% to Rs 76.5 after its market share rose to 30% in January, up from 19% in December. The company launched the Gen 3 model, expected to bring 20% margin savings. However, HSBC downgraded the stock to ""Hold"" citing volume disappointments and increased competition, lowering the target price to Rs 70.",5.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/ola-electric-shares-rally-over-14-on-market-share-gains-launch-of-gen-3-electric-scooter/articleshow/117786654.cms
71,"IndusInd Bank Q3 Results: Standalone PAT declines 39% YoY to Rs 1,401 crore, but beats estimates","IndusInd Bank Q3 Results: IndusInd Bank's Q3FY25 interest earnings rose 11% YoY to Rs 12,801 crore. Net interest income stood at Rs 5,228 crore, down from Rs 5,296 crore in Q3FY24. Net interest margins declined to 3.93% from 4.29% in Q3FY24 and 4.08% in Q2FY25.",5.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/earnings/indusind-bank-q3-results-pat-jumps-39-yoy-to-rs-1401-crore-beats-estimates/articleshow/117786578.cms
72,"Telangana’s MSME Policy, WE Hub come for appreciation in Economic Survey 2024-25",WE Hub is a good example from Telangana of how support of the government can help women’s entrepreneurship flourish: Economic Survey,5.5 hours ago,— The Hindu Business,https://www.thehindu.com/business/budget/telanganas-msme-policy-we-hub-come-for-appreciation-in-economic-survey-2024-25/article69163227.ece
73,"Rupee dips to record low, lags regional peers in Jan as headwinds persist","The Indian rupee hit an all-time low on Friday and was the worst performer among major Asian currencies in January, hurt by portfolio outflows, expectations of a rate cut and the uncertainty about U.S. trade tariffs.",5.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/forex/forex-news/rupee-dips-to-record-low-lags-regional-peers-in-jan-as-headwinds-persist/articleshow/117786088.cms
74,"Overexposure to social media, lack of exercise, overwork has worsened mental well-being: Economic Survey 2024-25","Given the direct costs to human welfare, putting mental well-being at the centre of the economic agenda is prudent, states the Economic Survey",5.5 hours ago,— The Hindu Business,https://www.thehindu.com/sci-tech/health/overexposure-to-social-media-lack-of-exercise-overwork-has-worsened-mental-well-being-economic-survey-2024-25/article69163338.ece
75,Cyient Share Price Surges As JPMorgan Upgrades To 'Overweight',"The brokerage cited limited downsides, and significant re-rating potential ahead of the new CEO announcement.",5.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/cyient-share-price-surges-as-jpmorgan-upgrades-to-overweight
76,How has Nifty performed post Budget in the last 10 years,This Budget balances growth-driven reforms and pro-consumption measures while managing fiscal consolidation.,6 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/how-has-nifty-performed-post-budget-in-the-last-10-years/slideshow/117785793.cms
77,"Sun Pharma announces Rs 10.50/share interim dividend, sets Feb 6 as record date","The company set February 6, 2025, as the record date for the dividend, payable by February 20, 2025. The company announced the dividend alongside its Q3 earnings, reporting a 15% YoY rise in net profit to Rs 2,903 crore for the quarter ended December 31, 2024. It also recorded an exceptional item of Rs 316 crore.",6 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/sun-pharma-announces-rs-10-50/share-interim-dividend-sets-feb-6-as-record-date/articleshow/117784951.cms
